SWARM_NUMBER,PARTICLE_NUMBER,CENTRALISED_ITERATIONS,CENTRALISED_TIME_TO_SOLUTION,CENTRALISED_FINAL_GROUP_BEST,DISTRIBUTED_ITERATIONS,DISTRIBUTED_TIME_TO_SOLUTION,DISTRIBUTED_FINAL_GROUP_BEST
1,1000,109,68,2,155,346,0
1,2000,148,142,0,149,400,0
1,3000,146,133,0,145,431,0
1,4000,147,178,0,145,481,0
1,5000,143,213,0,142,508,0
1,6000,144,264,0,143,586,0
1,7000,143,306,0,143,617,0
1,8000,139,340,0,144,669,0
1,9000,141,375,0,141,653,0
1,10000,140,682,0,140,888,0
1,20000,134,864,0,137,1854,0
1,30000,135,1456,0,139,2884,0
1,40000,137,2118,0,136,3839,0
1,50000,135,2695,0,131,4700,0
1,60000,133,3277,0,133,5805,0
1,70000,133,3853,0,132,6852,0
1,80000,132,4459,0,130,7941,0
1,90000,128,5220,0,130,8938,0
1,100000,131,6057,0,130,10376,0
2,1000,144,100,0,145,774,0
2,2000,142,176,0,138,825,0
2,3000,137,253,0,137,914,0
2,4000,136,357,0,137,1045,0
2,5000,137,411,0,135,1280,0
2,6000,133,477,0,135,1292,0
2,7000,134,577,0,131,1281,0
2,8000,132,681,0,135,1427,0
2,9000,131,739,0,129,1359,0
2,10000,131,881,0,139,2439,0
2,20000,130,1900,0,106,3158,0
2,30000,126,2904,0,127,4814,0
2,40000,125,3990,0,126,6256,0
2,50000,126,4205,0,108,5291,0
2,60000,125,6240,0,102,5840,0
2,70000,123,7469,0,124,7024,0
2,80000,123,8826,0,122,8022,0
2,90000,124,10340,0,122,9135,0
2,100000,123,8828,0,118,7370,0
2,150000,122,14003,0,119,13213,0
2,200000,119,19742,0,119,18240,0
2,250000,119,27418,0,119,23625,0
2,300000,114,39291,0,115,29258,0
2,350000,120,52039,0,119,35314,0
2,400000,116,60327,0,117,40600,0
2,450000,113,78404,0,117,49349,0
2,500000,115,112258,0,114,56502,0
3,1000,249,233,0,306,2335,0
3,2000,136,254,0,135,1282,0
3,3000,135,377,0,136,1397,0
3,4000,134,498,0,135,1578,0
3,5000,134,624,0,132,1701,0
3,6000,132,734,0,131,1805,0
3,7000,133,844,0,130,1993,0
3,8000,130,986,0,130,2034,0
3,9000,130,1079,0,131,2192,0
3,10000,130,1380,0,123,2689,0
3,20000,128,2978,0,105,3296,0
3,30000,124,4201,0,124,4778,0
3,40000,123,5847,0,124,6980,0
3,50000,125,7600,0,123,7688,0
3,60000,123,9333,0,121,9009,0
3,70000,121,11559,0,122,10418,0
3,80000,120,13360,0,120,11750,0
3,90000,120,15364,0,120,14172,0
3,100000,121,16727,0,117,14995,0
4,1000,141,173,0,143,1570,0
4,2000,137,389,0,137,1693,0
4,3000,133,515,0,132,2039,0
4,4000,131,696,0,132,2092,0
4,5000,131,855,0,131,2291,0
4,6000,131,976,0,130,2483,0
4,7000,131,1161,0,129,2626,0
4,8000,126,1338,0,130,2923,0
4,9000,128,1497,0,128,2958,0
4,10000,127,1742,0,118,3411,0
4,20000,127,3785,0,103,4318,0
4,25000,124,3842,0,123,5630,0
4,30000,122,5436,0,125,6814,0
4,40000,122,7588,0,121,8426,0
4,50000,121,8676,0,124,10308,0
4,60000,119,12113,0,120,11971,0
4,70000,120,15003,0,121,14234,0
4,75000,120,13934,0,119,13959,0
4,80000,119,17967,0,119,15980,0
4,90000,119,19969,0,118,18147,0
4,100000,116,19301,0,118,19389,0
4,125000,117,27981,0,118,24069,0
4,150000,118,40426,0,117,27959,0
4,175000,115,51825,0,116,33992,0
4,200000,115,61134,0,116,39246,0
4,225000,114,81726,0,115,45128,0
4,250000,115,119800,0,113,48906,0
5,1000,139,251,0,211,2914,0
5,2000,135,429,0,135,2085,0
5,3000,134,616,0,134,2274,0
5,4000,131,801,0,131,2416,0
5,5000,130,1034,0,131,2714,0
5,6000,130,1279,0,128,3016,0
5,7000,130,1439,0,128,3238,0
5,8000,129,1699,0,129,3532,0
5,9000,129,1942,0,128,3655,0
5,10000,127,2105,0,115,4196,0
5,20000,124,4400,0,101,5183,0
5,30000,121,6781,0,123,8259,0
5,40000,124,9692,0,121,10629,0
5,50000,119,12078,0,120,12927,0
5,60000,119,15271,0,119,15207,0
5,70000,119,18714,0,118,17101,0
5,80000,119,22398,0,119,20381,0
5,90000,117,26812,0,118,22802,0
5,100000,117,34193,0,118,25452,0
6,1000,139,264,0,160,2601,0
6,2000,208,827,0,134,2500,0
6,3000,133,749,0,133,2714,0
6,4000,130,989,0,132,2942,0
6,5000,130,1249,0,128,3182,0
6,6000,130,1525,0,131,3556,0
6,7000,129,1741,0,130,3886,0
6,8000,130,2028,0,126,3959,0
