SWARM_NUMBER,PARTICLE_NUMBER,CENTRALISED_ITERATIONS,CENTRALISED_TIME_TO_SOLUTION,CENTRALISED_FINAL_GROUP_BEST,DISTRIBUTED_ITERATIONS,DISTRIBUTED_TIME_TO_SOLUTION,DISTRIBUTED_FINAL_GROUP_BEST
1,1000,156,64,0,159,362,0
1,2000,150,108,0,155,377,0
1,3000,151,81,0,152,398,0
1,4000,151,133,0,154,478,0
1,5000,154,138,0,152,480,0
1,6000,147,164,0,150,524,0
1,7000,151,203,0,153,553,0
1,8000,145,214,0,149,599,0
1,9000,146,242,0,142,571,0
1,10000,150,288,0,125,948,0
1,20000,135,599,0,128,1561,0
1,30000,145,986,0,145,2283,0
1,40000,142,1390,0,141,3223,0
1,50000,144,1688,0,142,4123,0
1,60000,144,2063,0,140,4970,0
1,70000,134,2260,0,139,6050,0
1,80000,141,2831,0,138,6950,0
1,90000,138,3105,0,139,7977,0
1,100000,139,3520,0,139,8903,0
2,1000,150,57,0,153,797,0
2,2000,147,112,0,145,841,0
2,3000,145,158,0,147,939,0
2,4000,145,211,0,145,958,0
2,5000,144,251,0,146,1021,0
2,6000,142,309,0,143,1069,0
2,7000,141,388,0,142,1120,0
2,8000,142,523,0,141,1450,0
2,9000,141,495,0,140,1277,0
2,10000,138,524,0,146,2139,0
2,20000,136,1184,0,110,2670,0
2,30000,135,1820,0,135,3837,0
2,40000,133,2553,0,131,5239,0
2,50000,135,2910,0,105,4331,0
2,60000,132,4238,0,82,7473,0
2,70000,131,4891,0,132,9928,0
2,80000,131,5877,0,128,10634,0
2,90000,129,6709,0,129,13145,0
2,100000,132,6160,0,128,4092,0
2,150000,128,9857,0,132,11497,0
2,200000,127,14798,0,124,15046,0
2,250000,127,21596,0,125,19193,0
2,300000,127,34828,0,129,23894,0
2,350000,125,43639,0,125,27431,0
2,400000,124,52655,0,123,33195,0
2,450000,123,70949,0,125,39787,0
2,500000,121,102709,0,123,48322,0
3,1000,149,94,0,147,1186,0
3,2000,143,165,0,144,1251,0
3,3000,142,224,0,141,1345,0
3,4000,140,304,0,142,1609,0
3,5000,141,393,0,139,1644,0
3,6000,137,445,0,139,1773,0
3,7000,138,560,0,139,1810,0
3,8000,139,659,0,139,1894,0
3,9000,139,719,0,136,1888,0
3,10000,139,908,0,128,3229,0
3,20000,136,1697,0,112,4043,0
3,30000,131,2655,0,130,5744,0
3,40000,132,3693,0,130,7729,0
3,50000,129,4871,0,130,9849,0
3,60000,129,6474,0,129,11583,0
3,70000,127,7851,0,130,14685,0
3,80000,127,9082,0,128,16671,0
3,90000,128,10343,0,128,18770,0
3,100000,128,11792,0,128,20804,0
4,1000,148,144,0,148,1595,0
4,2000,144,208,0,143,1665,0
4,3000,143,379,0,141,1835,0
4,4000,143,420,0,140,1905,0
4,5000,140,536,0,141,2173,0
4,6000,138,610,0,138,2395,0
4,7000,136,729,0,139,2396,0
4,8000,137,895,0,136,2385,0
4,9000,135,924,0,135,2591,0
4,10000,134,1108,0,131,3971,0
4,20000,134,2268,0,112,5078,0
4,25000,131,3243,0,132,4846,0
4,30000,131,3539,0,132,7713,0
4,40000,131,4960,0,130,10032,0
4,50000,130,6802,0,110,8195,0
4,60000,128,8303,0,104,14313,0
4,70000,126,10114,0,130,17969,0
4,75000,128,10398,0,127,11190,0
4,80000,127,12294,0,126,20203,0
4,90000,127,14457,0,129,22803,0
4,100000,125,15180,0,115,11951,0
4,125000,123,21013,0,126,19601,0
4,150000,124,33524,0,123,22650,0
4,175000,124,42629,0,124,28039,0
4,200000,124,51940,0,124,31968,0
4,225000,124,70174,0,123,35334,0
4,250000,122,103364,0,124,39878,0
5,1000,145,210,0,145,1892,0
5,2000,147,298,0,142,1984,0
5,3000,140,401,0,139,2079,0
5,4000,140,533,0,140,2305,0
5,5000,137,633,0,137,2441,0
5,6000,139,848,0,138,2694,0
5,7000,136,962,0,136,2763,0
5,8000,134,1151,0,136,3084,0
5,9000,136,1308,0,136,3225,0
5,10000,136,1468,0,120,4248,0
5,20000,131,2763,0,106,5399,0
5,30000,131,4457,0,130,8610,0
5,40000,128,6049,0,130,11034,0
5,50000,128,8047,0,128,13288,0
5,60000,126,10310,0,128,16400,0
5,70000,127,13038,0,127,19087,0
5,80000,125,15706,0,127,22333,0
5,90000,125,18501,0,127,25521,0
5,100000,125,23624,0,124,27986,0
6,1000,146,224,0,145,2334,0
6,2000,142,324,0,143,2527,0
6,3000,141,493,0,140,2576,0
6,4000,139,617,0,138,2763,0
6,5000,139,864,0,137,2894,0
6,6000,137,973,0,137,3195,0
6,7000,137,1179,0,134,3246,0
6,8000,136,1344,0,136,3584,0
6,9000,131,1515,0,134,3792,0
6,10000,136,1767,0,120,5117,0
6,20000,131,3382,0,109,6663,0
6,30000,129,5377,0,129,10093,0
6,40000,126,7363,0,128,12876,0
6,50000,129,10198,0,127,15694,0
6,60000,126,13066,0,128,18921,0
6,70000,127,16424,0,130,23034,0
6,80000,126,20280,0,125,24836,0
6,90000,126,27656,0,125,28678,0
6,100000,126,36210,0,125,32252,0
7,1000,145,256,0,147,2675,0
7,2000,143,382,0,145,2924,0
7,3000,140,565,0,141,2991,0
7,4000,136,731,0,139,3204,0
7,5000,137,945,0,138,3393,0
7,6000,137,1178,0,136,3618,0
7,7000,136,1415,0,135,3869,0
7,8000,136,1634,0,136,4111,0
7,9000,134,1828,0,134,4395,0
7,10000,133,1896,0,120,5456,0
7,20000,132,3975,0,111,6943,0
7,30000,130,6354,0,129,11108,0
7,40000,127,9166,0,129,14418,0
7,50000,127,12595,0,127,17203,0
7,60000,126,16501,0,126,20591,0
7,70000,126,21664,0,125,23669,0
7,80000,124,30157,0,126,28731,0
7,90000,126,39462,0,124,32544,0
7,100000,124,45040,0,124,37061,0
8,1000,146,291,0,146,3088,0
8,2000,142,424,0,142,3370,0
8,3000,139,673,0,139,3482,0
8,4000,140,845,0,138,3685,0
8,5000,138,1113,0,139,3924,0
8,6000,138,1378,0,137,4198,0
8,7000,136,1639,0,137,4418,0
8,8000,135,1843,0,136,4696,0
8,9000,134,2075,0,135,4925,0
8,10000,134,2237,0,121,6372,0
8,12500,134,3634,0,134,6197,0
8,20000,130,4614,0,109,8176,0
8,25000,129,6481,0,131,8942,0
8,30000,130,7516,0,129,12310,0
8,37500,130,10425,0,127,11917,0
8,40000,127,11453,0,127,15822,0
8,50000,127,15161,0,106,14992,0
8,60000,128,20890,0,102,21274,0
8,62500,128,21246,0,126,18699,0
8,70000,126,31212,0,126,27621,0
8,75000,127,34117,0,125,22266,0
8,80000,125,40145,0,129,32578,0
8,87500,124,42271,0,125,26392,0
8,90000,125,47219,0,126,36905,0
8,100000,123,55802,0,107,21680,0
8,112500,124,69936,0,124,34058,0
8,125000,123,102856,0,121,36861,0
9,1000,146,322,0,148,3572,0
9,2000,143,486,0,141,3606,0
9,3000,141,723,0,142,3913,0
9,4000,139,993,0,137,4078,0
9,5000,137,1256,0,136,4358,0
9,6000,136,1561,0,136,4687,0
9,7000,136,1903,0,135,4939,0
9,8000,137,2175,0,135,5254,0
9,9000,135,2469,0,135,5616,0
9,10000,135,2481,0,117,6993,0
9,20000,131,5318,0,106,8768,0
9,30000,129,8841,0,129,14003,0
9,40000,128,13138,0,129,18095,0
9,50000,126,18523,0,127,22271,0
9,60000,126,27098,0,126,26377,0
9,70000,124,38398,0,125,30637,0
9,80000,125,47471,0,126,36288,0
9,90000,126,60104,0,123,40641,0
9,100000,124,83569,0,124,45375,0
10,1000,145,398,0,144,3828,0
10,2000,144,530,0,141,4026,0
10,3000,141,802,0,140,4400,0
10,4000,138,1107,0,138,4561,0
10,5000,137,1395,0,137,4842,0
10,6000,138,1724,0,138,5337,0
10,7000,137,2118,0,135,5552,0
10,8000,133,2490,0,136,5951,0
10,9000,135,2845,0,135,6217,0
10,10000,134,2805,0,118,7541,0
10,20000,132,5986,0,109,9957,0
10,30000,129,10185,0,127,15068,0
10,40000,129,15400,0,128,19667,0
10,50000,126,23378,0,126,24308,0
10,60000,128,36270,0,125,28513,0
10,70000,126,45328,0,124,33023,0
10,80000,125,58774,0,124,38411,0
10,90000,125,83288,0,124,43588,0
10,100000,123,131270,0,123,49330,0
