SWARM_NUMBER,PARTICLE_NUMBER,CENTRALISED_ITERATIONS,CENTRALISED_TIME_TO_SOLUTION,CENTRALISED_FINAL_GROUP_BEST,DISTRIBUTED_ITERATIONS,DISTRIBUTED_TIME_TO_SOLUTION,DISTRIBUTED_FINAL_GROUP_BEST
1,1000,81,47,-1,85,206,-1
1,2000,87,123,-1,83,224,-1
1,3000,82,120,-1,78,246,-1
1,4000,78,107,-1,77,265,-1
1,5000,77,139,-1,81,310,-1
1,6000,77,149,-1,75,315,-1
1,7000,75,183,-1,75,338,-1
1,8000,76,205,-1,76,359,-1
1,9000,77,231,-1,78,354,-1
1,10000,78,268,-1,75,356,-1
1,20000,72,509,-1,72,608,-1
1,30000,70,744,-1,73,905,-1
1,40000,71,1001,-1,67,1129,-1
1,50000,71,1232,-1,71,1470,-1
1,60000,69,1494,-1,69,1701,-1
1,70000,68,1767,-1,66,1915,-1
1,80000,70,2092,-1,64,2242,-1
1,90000,68,2336,-1,64,2420,-1
1,100000,69,2610,-1,66,2872,-1
2,1000,77,53,-1,72,386,-1
2,2000,74,107,-1,74,486,-1
2,3000,71,141,-1,71,481,-1
2,4000,68,182,-1,70,583,-1
2,5000,71,253,-1,68,591,-1
2,6000,68,278,-1,69,639,-1
2,7000,68,321,-1,70,725,-1
2,8000,69,365,-1,67,698,-1
2,9000,66,401,-1,68,763,-1
2,10000,67,527,-1,66,943,-1
2,20000,64,952,-1,64,1431,-1
2,30000,63,1399,-1,63,1990,-1
2,40000,64,1894,-1,59,2471,-1
2,50000,63,2364,-1,56,3551,-1
2,60000,59,2768,-1,39,3430,-1
2,70000,58,3205,-1,59,4488,-1
2,80000,58,3752,-1,58,4934,-1
2,90000,58,4172,-1,58,5742,-1
2,100000,57,4578,-1,55,2545,-1
2,150000,54,6681,-1,58,7217,-1
2,200000,55,9776,-1,54,9145,-1
2,250000,52,12875,-1,54,12404,-1
2,300000,54,19400,-1,55,14614,-1
2,350000,54,24188,-1,54,17662,-1
2,400000,52,28344,-1,53,20410,-1
2,450000,51,36510,-1,54,24803,-1
2,500000,50,50887,-1,54,29327,-1
3,1000,73,102,-1,72,630,-1
3,2000,71,145,-1,69,678,-1
3,3000,68,239,-1,68,702,-1
3,4000,67,292,-1,66,812,-1
3,5000,66,344,-1,65,841,-1
3,6000,66,395,-1,67,1019,-1
3,7000,65,455,-1,64,992,-1
3,8000,66,530,-1,65,1071,-1
3,9000,64,587,-1,63,1121,-1
3,10000,65,715,-1,69,1747,-1
3,20000,62,1349,-1,52,1839,-1
3,30000,60,2055,-1,63,3086,-1
3,40000,60,2863,-1,59,3777,-1
3,50000,57,3407,-1,59,4420,-1
3,60000,57,4233,-1,57,5106,-1
3,70000,56,5021,-1,57,6252,-1
3,80000,55,5638,-1,54,6664,-1
3,90000,57,6778,-1,56,8105,-1
3,100000,56,7772,-1,55,8661,-1
4,1000,70,97,-1,73,797,-1
4,2000,71,195,-1,71,904,-1
4,3000,66,295,-1,70,1029,-1
4,4000,66,356,-1,65,1062,-1
